Nr.,Platz,Runde,Paar,Club,Leader,Follower
33,1.,Endrunde,"Jenner, David / Tuigunov, Elisabeth ", Die Residenz Münster,"Jenner, David","Tuigunov, Elisabeth "
104,2.,Endrunde,"Schmuck, Daniel / Tudorache, Irina ", TSC Rot-Gold-Casino Nürnberg,"Schmuck, Daniel","Tudorache, Irina "
92,3.,Endrunde,"Elert, Justin / Menser, Nicole ", Rot-Weiss-Klub Kassel,"Elert, Justin","Menser, Nicole "
98,4.,Endrunde,"Pastuchow, Daniel / Elkin, Anastasia ", Blau-Silber Berlin Tanzsportclub,"Pastuchow, Daniel","Elkin, Anastasia "
117,5.,Endrunde,"Anisimov, Demid / Domingues da Silva, Giuliana ", Grün-Gold-Club Bremen,"Anisimov, Demid","Domingues da Silva, Giuliana "
76,6.,Endrunde,"Deiloff, Dennis / Deiloff, Sabrina ", TGC Rot-Weiß Porz,"Deiloff, Dennis","Deiloff, Sabrina "
121,7.,Vorrunde,"Darii, Maksym / Kondratenko, Sophie ",TSC Rot-Gold-Casino Nürnberg,"Darii, Maksym","Kondratenko, Sophie "
77,8.,Vorrunde,"Ortiz García, Carlos / Ortiz García, Christina ",TTC Rot-Gold Köln,"Ortiz García, Carlos","Ortiz García, Christina "
103,9.,Vorrunde,"Lindner, Nico / Klemm, Tabea ",Schwarz-Weiß-Club Pforzheim,"Lindner, Nico","Klemm, Tabea "
75,10.,Vorrunde,"Werner, Leo / Theobalt, Fabienne ",TC Rot-Weiss Casino Mainz,"Werner, Leo","Theobalt, Fabienne "
31,11.,Vorrunde,"Falke, Leon / Shishkina, Anastasia ",Grün-Gold-Club Bremen,"Falke, Leon","Shishkina, Anastasia "
72,12.,Vorrunde,"Yerokhin, Nikita / Muhamedagic, Ela ",Grün-Gold-Club Bremen,"Yerokhin, Nikita","Muhamedagic, Ela "
