,Category,Value
1,Ausrichter,TSC Grün-Weiß Aquisgrana Aachen
2,Turnierleiter,"Pitz, Marcel TSC Grün-Weiß Aquisgrana Aachen"
3,Beisitzer,"Belten, Markus TSC Grün-Weiß Aquisgrana Aachen"
4,Protokoll,"Belten, Ursula TSC Grün-Weiß Aquisgrana Aachen"
5,Turnierbüro,"Angelina TSC Grün-Weiß Aquisgrana Aachen Brix, Christopher Gahl, Julia TSC Grün-Weiß Aquisgrana Aachen Gehlhaar, Ilona TSC Grün-Weiß Aquisgrana Aachen Müller, Uwe TSC Grün-Weiß Aquisgrana Aachen"
6,Musik,"Hock, Tobias TSC Grün-Weiß Aquisgrana Aachen Leurs, Andreas TSC Grün-Weiß Aquisgrana Aachen"
0,Date,17.06.2023
1,Title,RL Hgr S Lat - Aachen
2,Class,Hgr. S Latein
3,Nr. Rounds + Final,2
4,Nr. Adjudicators,7
5,Nr. Couples,12
